dataset,eval_type,model,family,source_root,rank_metric,rank_value,summary_path,action_f1,action_precision,action_recall,all_f1,all_precision,all_recall,edge_f1,edge_precision,edge_recall,goal_evaluation.action_goal,goal_evaluation.relation_goal,goal_evaluation.state_goal,goal_evaluation.task_success_rate,goal_evaluation.total_goal,node_f1,node_precision,node_recall,trajectory_evaluation.execution_success_rate,trajectory_evaluation.grammar_error.hallucination,trajectory_evaluation.grammar_error.parsing,trajectory_evaluation.grammar_error.predicate_argument_number,trajectory_evaluation.runtime_error.additional_step,trajectory_evaluation.runtime_error.affordance_error,trajectory_evaluation.runtime_error.missing_step,trajectory_evaluation.runtime_error.wrong_order
virtualhome,action_sequencing,glm-5-turbo,Other,output/improvement_run,goal_evaluation.task_success_rate,88.3721,output/improvement_run/virtualhome/evaluate_results/action_sequencing/glm-5-turbo/summary.json,,,,,,,,,,57.1429,77.7778,90.8397,88.3721,87.013,,,,93.0,2.3256,2.3256,0.0,5.814,0.0,2.3256,0.0
virtualhome,action_sequencing,glm-5-turbo_sg_rag,Other,output/improvement_run,goal_evaluation.task_success_rate,87.2093,output/improvement_run/virtualhome/evaluate_results/action_sequencing/glm-5-turbo_sg_rag/summary.json,,,,,,,,,,57.1429,77.7778,92.3664,87.2093,88.3117,,,,89.5,2.3256,0.0,0.0,4.6512,0.0,5.814,2.3256
virtualhome,action_sequencing,minimax-m2-stable,Other,output/improvement_run,goal_evaluation.task_success_rate,86.0465,output/improvement_run/virtualhome/evaluate_results/action_sequencing/minimax-m2-stable/summary.json,,,,,,,,,,50.0,88.8889,90.0763,86.0465,86.3636,,,,90.7,2.3256,1.1628,1.1628,4.6512,0.0,3.4884,1.1628
virtualhome,action_sequencing,deepseek-v4-flash_plan_then_ground,Other,output/improvement_run,goal_evaluation.task_success_rate,80.2326,output/improvement_run/virtualhome/evaluate_results/action_sequencing/deepseek-v4-flash_plan_then_ground/summary.json,,,,,,,,,,69.3333,67.7966,88.8889,80.2326,81.1429,,,,86.6,2.3256,1.1628,1.7442,5.2326,0.0,8.1395,0.0
virtualhome,action_sequencing,deepseek-v4-flash_few_shot,Other,output/improvement_run,goal_evaluation.task_success_rate,79.6512,output/improvement_run/virtualhome/evaluate_results/action_sequencing/deepseek-v4-flash_few_shot/summary.json,,,,,,,,,,66.6667,64.4068,88.4259,79.6512,79.7143,,,,84.9,2.3256,0.0,2.3256,4.0698,0.0,10.4651,0.0
virtualhome,action_sequencing,deepseek-v4-flash_format_constraints,Other,output/improvement_run,goal_evaluation.task_success_rate,79.0698,output/improvement_run/virtualhome/evaluate_results/action_sequencing/deepseek-v4-flash_format_constraints/summary.json,,,,,,,,,,66.6667,69.4915,89.3519,79.0698,81.1429,,,,86.0,4.0698,0.5814,1.1628,5.2326,0.5814,7.5581,0.0
virtualhome,action_sequencing,deepseek-v4-flash_sg_rag,Other,output/improvement_run,goal_evaluation.task_success_rate,79.0698,output/improvement_run/virtualhome/evaluate_results/action_sequencing/deepseek-v4-flash_sg_rag/summary.json,,,,,,,,,,68.0,66.1017,89.3519,79.0698,80.8571,,,,87.2,2.3256,0.5814,1.1628,5.814,0.0,8.7209,0.0
virtualhome,action_sequencing,minimax-m2-stable_sg_rag,Other,output/improvement_run,goal_evaluation.task_success_rate,79.0698,output/improvement_run/virtualhome/evaluate_results/action_sequencing/minimax-m2-stable_sg_rag/summary.json,,,,,,,,,,50.0,66.6667,86.2595,79.0698,81.8182,,,,86.0,2.3256,1.1628,1.1628,5.814,0.0,6.9767,2.3256
virtualhome,action_sequencing,mistral-large-2402,Mistral,output_norm_all,goal_evaluation.task_success_rate,76.3934,output_norm_all/virtualhome/evaluate_results/action_sequencing/mistral-large-2402/summary.json,,,,,,,,,,72.973,77.7778,81.295,76.3934,78.2178,,,,83.6,2.623,0.0,0.3279,4.918,0.3279,12.7869,0.3279
virtualhome,action_sequencing,deepseek-v4-flash,Other,output/improvement_run,goal_evaluation.task_success_rate,75.5814,output/improvement_run/virtualhome/evaluate_results/action_sequencing/deepseek-v4-flash/summary.json,,,,,,,,,,58.6667,64.4068,90.2778,75.5814,79.1429,,,,82.6,2.3256,0.5814,1.1628,4.0698,0.5814,12.7907,0.0
virtualhome,action_sequencing,claude-3-5-sonnet-20240620,Anthropic,output,goal_evaluation.task_success_rate,72.7869,output/virtualhome/evaluate_results/action_sequencing/claude-3-5-sonnet-20240620/summary.json,,,,,,,,,,59.4595,80.0,81.6547,72.7869,75.7426,,,,75.7,2.2951,0.0,0.0,5.2459,1.6393,19.3443,0.9836
virtualhome,action_sequencing,claude-3-opus-20240229,Anthropic,output,goal_evaluation.task_success_rate,68.5246,output/virtualhome/evaluate_results/action_sequencing/claude-3-opus-20240229/summary.json,,,,,,,,,,57.4324,79.4444,64.7482,68.5246,67.3267,,,,70.8,14.0984,0.0,0.0,6.2295,0.3279,14.0984,0.6557
virtualhome,action_sequencing,o1-mini-2024-09-12,OpenAI,output,goal_evaluation.task_success_rate,65.5738,output/virtualhome/evaluate_results/action_sequencing/o1-mini-2024-09-12/summary.json,,,,,,,,,,52.7027,67.7778,75.1799,65.5738,67.4917,,,,68.9,5.2459,0.3279,3.2787,5.9016,0.3279,21.6393,0.3279
