model,family,parsing,hallucination,predicate_argument_number,wrong_order,missing_step,affordance_error,additional_step
glm-5-turbo,Other,2.3256,2.3256,0.0,0.0,2.3256,0.0,5.814
glm-5-turbo_sg_rag,Other,0.0,2.3256,0.0,2.3256,5.814,0.0,4.6512
minimax-m2-stable,Other,1.1628,2.3256,1.1628,1.1628,3.4884,0.0,4.6512
deepseek-v4-flash_plan_then_ground,Other,1.1628,2.3256,1.7442,0.0,8.1395,0.0,5.2326
deepseek-v4-flash_few_shot,Other,0.0,2.3256,2.3256,0.0,10.4651,0.0,4.0698
deepseek-v4-flash_format_constraints,Other,0.5814,4.0698,1.1628,0.0,7.5581,0.5814,5.2326
deepseek-v4-flash_sg_rag,Other,0.5814,2.3256,1.1628,0.0,8.7209,0.0,5.814
minimax-m2-stable_sg_rag,Other,1.1628,2.3256,1.1628,2.3256,6.9767,0.0,5.814
mistral-large-2402,Mistral,0.0,2.623,0.3279,0.3279,12.7869,0.3279,4.918
deepseek-v4-flash,Other,0.5814,2.3256,1.1628,0.0,12.7907,0.5814,4.0698
claude-3-5-sonnet-20240620,Anthropic,0.0,2.2951,0.0,0.9836,19.3443,1.6393,5.2459
claude-3-opus-20240229,Anthropic,0.0,14.0984,0.0,0.6557,14.0984,0.3279,6.2295
o1-mini-2024-09-12,OpenAI,0.3279,5.2459,3.2787,0.3279,21.6393,0.3279,5.9016
cohere-command-r-plus,Cohere,0.0,5.5738,0.6557,0.3279,22.623,0.6557,5.9016
gpt-4o-2024-05-13,OpenAI,0.3279,1.3115,0.3279,0.3279,25.2459,1.3115,4.918
claude-3-sonnet-2024022,Anthropic,0.0,5.5738,0.6557,2.2951,22.623,1.3115,3.6066
gemini-1.5-flash-preview-0514,Google,0.0,1.9672,0.3279,0.3279,29.5082,0.3279,4.2623
deepseek-v4-flash_sg_rag_pc_kg,Other,0.5814,2.3256,0.5814,0.0,16.8605,0.0,8.7209
o1-preview-2024-09-12,OpenAI,13.4426,6.8852,0.0,0.0,12.459,0.0,2.9508
gpt-4-turbo-2024-04-09,OpenAI,0.0,1.6393,0.3279,0.0,32.1311,0.3279,3.6066
deepseek-v4-flash_pc_kg_self_check,Other,5.814,2.3256,0.5814,0.0,23.8372,0.0,8.1395
claude-3-haiku-20240307,Anthropic,0.0,4.918,0.3279,1.6393,43.2787,1.3115,3.2787
llama-3-70b-chat,Meta,37.7049,12.1311,0.6557,0.6557,3.6066,1.3115,4.918
gemini-1.5-pro-preview-0409,Google,68.1967,0.9836,0.0,0.0,2.623,0.3279,1.3115
llama-3-8b-chat,Meta,0.0,41.3115,0.9836,0.3279,31.1475,0.0,0.3279
cohere-command-r,Cohere,6.8852,28.5246,2.2951,2.623,24.5902,1.3115,3.9344
gpt-3.5-turbo-0125,OpenAI,35.082,1.6393,1.3115,0.3279,28.1967,1.6393,1.9672
gemini-1.0-pro,Google,76.0656,1.6393,0.6557,0.3279,8.8525,0.3279,1.3115
gold_oracle,Oracle,0.0,8.8525,0.0,0.3279,1.6393,0.0,0.0
mixtral-8x22b-instruct-v0.1,Mistral,100.0,0.0,0.0,0.0,0.0,0.0,0.0
